"","species","lat","lon"
"456","Castilleja linariifolia",38.730614,-106.872894
"457","Castilleja linariifolia",38.959896,-106.988403
"458","Castilleja linariifolia",38.956518,-106.973469
"459","Castilleja linariifolia",40.58288,-111.618183
"460","Castilleja linariifolia",38.885613,-107.110575
"461","Castilleja linariifolia",38.907592,-107.050544
"462","Castilleja linariifolia",38.902534,-107.02022
"463","Castilleja linariifolia",40.639388,-115.40763
"464","Castilleja linariifolia",36.997653,-107.68525
"465","Castilleja linariifolia",42.350083,-113.477683
"466","Castilleja linariifolia",40.647758,-111.647688
"467","Castilleja linariifolia",38.364444,-109.186111
"468","Castilleja linariifolia",39.928611,-113.843889
"469","Castilleja linariifolia",39.928056,-113.885833
"470","Castilleja linariifolia",39.859167,-113.861667
"471","Castilleja linariifolia",39.877222,-111.741944
"472","Castilleja linariifolia",39.688056,-111.741944
"473","Castilleja linariifolia",37.072778,-112.672222
"474","Castilleja linariifolia",38.200003,-111.350003
"475","Castilleja linariifolia",39.283336,-112.183336
"476","Castilleja linariifolia",38.6975,-110.104722
"477","Castilleja linariifolia",39.300278,-112.202778
"478","Castilleja linariifolia",37.879444,-111.631667
"479","Castilleja linariifolia",37.879444,-111.631667
"480","Castilleja linariifolia",37.879444,-111.631667
"481","Castilleja linariifolia",37.879444,-111.631667
"482","Castilleja linariifolia",37.836111,-111.668056
"483","Castilleja linariifolia",38.066833,-111.6425
"484","Castilleja linariifolia",38.0088,-111.3884
"485","Castilleja linariifolia",37.676944,-109.822778
"486","Castilleja linariifolia",37.721944,-111.724722
"487","Castilleja linariifolia",41.5985,-113.748867
"488","Castilleja linariifolia",39.235,-110.794444
"489","Castilleja linariifolia",41.775,-111.61
"490","Castilleja linariifolia",40.404444,-111.689444
"491","Castilleja linariifolia",40.416389,-112.606667
"492","Castilleja linariifolia",37.978333,-111.829722
"493","Castilleja linariifolia",37.297713,-113.026301
"494","Castilleja linariifolia",38.608673,-109.57991
"495","Castilleja linariifolia",40.237795,-105.781188
"496","Castilleja linariifolia",34.263858,-116.912259
"497","Castilleja linariifolia",35.727841,-105.839546
"498","Castilleja linariifolia",38.910358,-107.035622
"499","Castilleja linariifolia",42.364933,-120.146417
"500","Castilleja linariifolia",36.670868,-106.712914
"501","Castilleja linariifolia",37.3411,-113.066291
"502","Castilleja linariifolia",37.586464,-118.857161
"503","Castilleja linariifolia",42.361203,-120.149597
"504","Castilleja linariifolia",36.069701,-115.460377
"505","Castilleja linariifolia",40.637387,-105.32052
"506","Castilleja linariifolia",38.073608,-119.212962
"507","Castilleja linariifolia",38.049983,-119.265298
"508","Castilleja linariifolia",37.494553,-112.255028
"509","Castilleja linariifolia",38.521061,-106.823608
"510","Castilleja linariifolia",34.872958,-109.79445
"511","Castilleja linariifolia",37.00087,-114.04988
"512","Castilleja linariifolia",43.76514,-114.65227
"513","Castilleja linariifolia",38.10562,-111.27634
"514","Castilleja linariifolia",38.61146,-112.45253
"515","Castilleja linariifolia",38.93149,-111.39851
"516","Castilleja linariifolia",38.56674,-111.69849
"517","Castilleja linariifolia",38.94034,-111.48816
"518","Castilleja linariifolia",39.62866,-111.70906
"519","Castilleja linariifolia",38.79951,-111.66392
"520","Castilleja linariifolia",40.22193,-111.56716
"521","Castilleja linariifolia",38.78603,-111.34528
"522","Castilleja linariifolia",38.56478,-112.35431
"523","Castilleja linariifolia",38.66872,-112.20907
"524","Castilleja linariifolia",38.88907,-112.16392
"525","Castilleja linariifolia",38.89923,-112.16004
"526","Castilleja linariifolia",36.72684,-111.89878
"527","Castilleja linariifolia",39.74683,-114.03301
"528","Castilleja linariifolia",42.33539,-113.55007
"529","Castilleja linariifolia",40.47111,-111.25555
"530","Castilleja linariifolia",37.8512,-109.80176
"531","Castilleja linariifolia",37.01443,-110.84823
"532","Castilleja linariifolia",38.11416,-111.70833
"533","Castilleja linariifolia",37.75383,-111.3461
"534","Castilleja linariifolia",38.16307,-109.75236
"535","Castilleja linariifolia",37.90722,-109.49305
"536","Castilleja linariifolia",41.9915,-111.476
"537","Castilleja linariifolia",41.95716,-111.23216
"538","Castilleja linariifolia",41.8817,-111.28822
"539","Castilleja linariifolia",41.56597,-111.10997
